colour	x	y	showSelected1	showSelected2	fill
#0D3A6B	20	0.209577567498405	22	miss	#0D3A6B
#4283C9	21	0.273239544735163	22	hit	#4283C9
#0D3A6B	22	0.215365019974474	22	miss	#0D3A6B
#4283C9	23	0.273239544735163	22	hit	#4283C9
#0D3A6B	2	0.363380227632419	23	miss	#0D3A6B
#4283C9	3	0.273239544735163	23	hit	#4283C9
#4283C9	4	0.909859317102744	23	hit	#4283C9
#0D3A6B	5	0.273239544735163	23	miss	#0D3A6B
#4283C9	6	0.591549430918953	23	hit	#4283C9
#0D3A6B	7	0.273239544735163	23	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	23	miss	#0D3A6B
#4283C9	9	0.273239544735163	23	hit	#4283C9
#4283C9	10	0.432394487827058	23	hit	#4283C9
#4283C9	11	0.591549430918953	23	hit	#4283C9
#0D3A6B	12	0.400563499208679	23	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	23	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	23	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	23	miss	#0D3A6B
#4283C9	16	0.193662073189215	23	hit	#4283C9
#4283C9	17	0.273239544735163	23	hit	#4283C9
#4283C9	18	0.35281701628111	23	hit	#4283C9
#0D3A6B	19	0.273239544735163	23	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	23	miss	#0D3A6B
#4283C9	21	0.273239544735163	23	hit	#4283C9
#0D3A6B	22	0.215365019974474	23	miss	#0D3A6B
#4283C9	23	0.273239544735163	23	hit	#4283C9
#4283C9	24	0.331114069495852	23	hit	#4283C9
#0D3A6B	2	0.363380227632419	24	miss	#0D3A6B
#4283C9	3	0.273239544735163	24	hit	#4283C9
#4283C9	4	0.909859317102744	24	hit	#4283C9
#0D3A6B	5	0.273239544735163	24	miss	#0D3A6B
#4283C9	6	0.591549430918953	24	hit	#4283C9
#0D3A6B	7	0.273239544735163	24	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	24	miss	#0D3A6B
#4283C9	9	0.273239544735163	24	hit	#4283C9
#4283C9	10	0.432394487827058	24	hit	#4283C9
#4283C9	11	0.591549430918953	24	hit	#4283C9
#0D3A6B	12	0.400563499208679	24	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	24	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	24	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	24	miss	#0D3A6B
#4283C9	16	0.193662073189215	24	hit	#4283C9
#4283C9	17	0.273239544735163	24	hit	#4283C9
#4283C9	18	0.35281701628111	24	hit	#4283C9
#0D3A6B	19	0.273239544735163	24	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	24	miss	#0D3A6B
#4283C9	21	0.273239544735163	24	hit	#4283C9
#0D3A6B	22	0.215365019974474	24	miss	#0D3A6B
#4283C9	23	0.273239544735163	24	hit	#4283C9
#4283C9	24	0.331114069495852	24	hit	#4283C9
#4283C9	25	0.388988594256541	24	hit	#4283C9
#0D3A6B	2	0.363380227632419	25	miss	#0D3A6B
#4283C9	3	0.273239544735163	25	hit	#4283C9
