colour	x	y	showSelected1	fill
#FB61D7	1975	50.6999024390244	Sub-Saharan Africa	#FB61D7
#C49A00	1975	72.7243902439024	Europe & Central Asia	#C49A00
#53B400	1975	64.6137804878049	Latin America & Caribbean	#53B400
#C49A00	1975	68.6816097560976	Europe & Central Asia	#C49A00
#FB61D7	1975	51.2058536585366	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	43.1097317073171	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	36.2787317073171	Sub-Saharan Africa	#FB61D7
#FB61D7	1975	41.2463658536585	Sub-Saharan Africa	#FB61D7
#C49A00	1975	73.0244634146342	Europe & Central Asia	#C49A00
#53B400	1975	55.1896097560976	Latin America & Caribbean	#53B400
#F8766D	1975	67.7789024390244	East Asia & Pacific	#F8766D
#FB61D7	1975	38.3902926829268	Sub-Saharan Africa	#FB61D7
#53B400	1975	58.0670487804878	Latin America & Caribbean	#53B400
#F8766D	1975	73.3682926829268	East Asia & Pacific	#F8766D
#53B400	1975	55.6771219512195	Latin America & Caribbean	#53B400
#C49A00	1975	70.0019512195122	Europe & Central Asia	#C49A00
#53B400	1975	48.8693414634146	Latin America & Caribbean	#53B400
#C49A00	1975	69.29	Europe & Central Asia	#C49A00
#F8766D	1975	54.8905365853659	East Asia & Pacific	#F8766D
#C49A00	1975	71.5462926829268	Europe & Central Asia	#C49A00
#00C094	1975	72.0451219512195	Middle East & North Africa	#00C094
#A58AFF	1975	52.5806097560976	South Asia	#A58AFF
#00C094	1975	60.7249512195122	Middle East & North Africa	#00C094
