group	clickSelects	colour	fill	key	showSelected2	showSelected3	tooltip
73	Lesotho	#F564E3	#F564E3	Lesotho	Lesotho	SSA	Lesotho
74	Liberia	#F564E3	#F564E3	Liberia	Liberia	SSA	Liberia
75	Libya	#F8766D	#F8766D	Libya	Libya	AS	Libya
76	Madagascar	#F564E3	#F564E3	Madagascar	Madagascar	SSA	Madagascar
77	Malawi	#F564E3	#F564E3	Malawi	Malawi	SSA	Malawi
78	Malaysia	#B79F00	#B79F00	Malaysia	Malaysia	EAP	Malaysia
79	Maldives	#619CFF	#619CFF	Maldives	Maldives	SA	Maldives
80	Mali	#F564E3	#F564E3	Mali	Mali	SSA	Mali
81	Marshall Islands	#B79F00	#B79F00	Marshall Islands	Marshall Islands	EAP	Marshall Islands
82	Mauritania	#F564E3	#F564E3	Mauritania	Mauritania	SSA	Mauritania
83	Mauritius	#F564E3	#F564E3	Mauritius	Mauritius	SSA	Mauritius
