sample_id,iso3,country,year,IQ,n_individuals,test_type,Region,population,IQ_national
IDN3746,IDN,Indonesia,2000,62.9922896463325,621.0593,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN4834,IDN,Indonesia,2009,77.58600280311998,47.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN5597,IDN,Indonesia,2012,69.33387633983958,25.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN6764,IDN,Indonesia,2012,83.55821270687247,25.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN5252,IDN,Indonesia,2015,91.34707606686715,583.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IRN1565,IRN,Iran,1974,81.86022922360642,1294.0,RPM,Middle East & North Africa,82801633.0,80.00371563382433
IRN8850,IRN,Iran,1974,78.57197267801143,3267.0,RPM,Middle East & North Africa,82801633.0,80.00371563382433
IRN3616,IRN,Iran,2009,77.76552435999997,1956.0,RPM,Middle East & North Africa,82801633.0,80.00371563382433
IRQ1258,IRQ,Iraq,1972,84.4329661923784,1185.0,RPM,Middle East & North Africa,38146025.0,89.81242835390111
IRQ5233,IRQ,Iraq,1972,86.4181,204.0,RPM,Middle East & North Africa,38146025.0,89.81242835390111
IRQ3749,IRQ,Iraq,2011,101.25475299323645,529.0,RPM,Middle East & North Africa,38146025.0,89.81242835390111
IRL4419,IRL,Ireland,1990,88.56,200.0,WIS,Europe & Central Asia,4952473.0,95.21033910238955
IRL8580,IRL,Ireland,1990,90.79199666,191.0,RPM,Europe & Central Asia,4952473.0,95.21033910238955
ISR8476,ISR,Israel,1979,84.97900640928381,549.0,RPM,Middle East & North Africa,8174527.0,92.51484705028778
ISR9043,ISR,Israel,1979,89.113024621875,534.0,RPM,Middle East & North Africa,8174527.0,92.51484705028778
