showSelected1	ymin	ymax	xmin	xmax
58	0	0	14.55	15.45
59	0	0	0.55	1.45
59	0	0	1.55	2.45
59	0	0	2.55	3.45
59	0	2	3.55	4.45
59	0	6	4.55	5.45
59	0	6	5.55	6.45
59	0	3	6.55	7.45
59	0	8	7.55	8.45
59	0	9	8.55	9.45
59	0	3	9.55	10.45
59	0	4	10.55	11.45
59	0	3	11.55	12.45
59	0	0	12.55	13.45
59	0	0	13.55	14.45
59	0	0	14.55	15.45
60	0	0	0.55	1.45
60	0	0	1.55	2.45
60	0	0	2.55	3.45
60	0	2	3.55	4.45
60	0	6	4.55	5.45
60	0	7	5.55	6.45
60	0	3	6.55	7.45
60	0	8	7.55	8.45
60	0	9	8.55	9.45
60	0	3	9.55	10.45
60	0	4	10.55	11.45
60	0	3	11.55	12.45
60	0	0	12.55	13.45
60	0	0	13.55	14.45
60	0	0	14.55	15.45
61	0	0	0.55	1.45
61	0	0	1.55	2.45
61	0	0	2.55	3.45
61	0	2	3.55	4.45
61	0	6	4.55	5.45
61	0	7	5.55	6.45
61	0	3	6.55	7.45
61	0	8	7.55	8.45
61	0	9	8.55	9.45
61	0	3	9.55	10.45
61	0	5	10.55	11.45
61	0	3	11.55	12.45
61	0	0	12.55	13.45
61	0	0	13.55	14.45
61	0	0	14.55	15.45
62	0	0	0.55	1.45
62	0	0	1.55	2.45
62	0	0	2.55	3.45
62	0	2	3.55	4.45
62	0	6	4.55	5.45
62	0	7	5.55	6.45
62	0	3	6.55	7.45
62	0	8	7.55	8.45
62	0	10	8.55	9.45
62	0	3	9.55	10.45
62	0	5	10.55	11.45
62	0	3	11.55	12.45
62	0	0	12.55	13.45
62	0	0	13.55	14.45
62	0	0	14.55	15.45
63	0	0	0.55	1.45
63	0	0	1.55	2.45
63	0	0	2.55	3.45
63	0	2	3.55	4.45
63	0	6	4.55	5.45
63	0	7	5.55	6.45
63	0	3	6.55	7.45
63	0	8	7.55	8.45
63	0	11	8.55	9.45
63	0	3	9.55	10.45
63	0	5	10.55	11.45
63	0	3	11.55	12.45
63	0	0	12.55	13.45
63	0	0	13.55	14.45
63	0	0	14.55	15.45
64	0	0	0.55	1.45
64	0	0	1.55	2.45
64	0	0	2.55	3.45
64	0	2	3.55	4.45
64	0	6	4.55	5.45
64	0	7	5.55	6.45
64	0	4	6.55	7.45
64	0	8	7.55	8.45
64	0	11	8.55	9.45
64	0	3	9.55	10.45
64	0	5	10.55	11.45
64	0	3	11.55	12.45
64	0	0	12.55	13.45
64	0	0	13.55	14.45
64	0	0	14.55	15.45
65	0	0	0.55	1.45
65	0	0	1.55	2.45
65	0	0	2.55	3.45
65	0	2	3.55	4.45
65	0	7	4.55	5.45
65	0	7	5.55	6.45
65	0	4	6.55	7.45
65	0	8	7.55	8.45
65	0	11	8.55	9.45
65	0	3	9.55	10.45
65	0	5	10.55	11.45
65	0	3	11.55	12.45
65	0	0	12.55	13.45
65	0	0	13.55	14.45
65	0	0	14.55	15.45
66	0	0	0.55	1.45
66	0	0	1.55	2.45
66	0	0	2.55	3.45
66	0	2	3.55	4.45
66	0	7	4.55	5.45
66	0	7	5.55	6.45
66	0	4	6.55	7.45
66	0	9	7.55	8.45
66	0	11	8.55	9.45
66	0	3	9.55	10.45
66	0	5	10.55	11.45
66	0	3	11.55	12.45
66	0	0	12.55	13.45
66	0	0	13.55	14.45
66	0	0	14.55	15.45
67	0	0	0.55	1.45
67	0	0	1.55	2.45
67	0	0	2.55	3.45
