group	x	y	showSelected1
85	9	15	85
85	10	5	85
85	11	6	85
85	12	3	85
85	13	0	85
85	14	0	85
85	15	0	85
86	1	0	86
86	2	0	86
86	3	0	86
86	4	2	86
86	5	8	86
86	6	10	86
86	7	11	86
86	8	11	86
86	9	15	86
86	10	5	86
86	11	6	86
86	12	3	86
86	13	0	86
86	14	0	86
86	15	0	86
87	1	0	87
87	2	0	87
87	3	0	87
87	4	2	87
87	5	8	87
87	6	10	87
87	7	11	87
87	8	11	87
87	9	15	87
87	10	5	87
87	11	7	87
87	12	3	87
87	13	0	87
87	14	0	87
87	15	0	87
88	1	0	88
88	2	0	88
88	3	0	88
88	4	2	88
88	5	8	88
88	6	10	88
88	7	11	88
88	8	11	88
88	9	16	88
88	10	5	88
88	11	7	88
88	12	3	88
88	13	0	88
88	14	0	88
88	15	0	88
89	1	0	89
89	2	0	89
89	3	0	89
89	4	2	89
89	5	8	89
89	6	10	89
89	7	11	89
89	8	11	89
89	9	17	89
89	10	5	89
89	11	7	89
89	12	3	89
89	13	0	89
89	14	0	89
89	15	0	89
90	1	0	90
90	2	0	90
90	3	0	90
90	4	2	90
90	5	8	90
90	6	10	90
90	7	11	90
90	8	12	90
90	9	17	90
90	10	5	90
90	11	7	90
90	12	3	90
90	13	0	90
90	14	0	90
90	15	0	90
91	1	0	91
91	2	0	91
91	3	0	91
91	4	2	91
91	5	9	91
91	6	10	91
91	7	11	91
91	8	12	91
91	9	17	91
91	10	5	91
91	11	7	91
91	12	3	91
91	13	0	91
91	14	0	91
91	15	0	91
92	1	0	92
92	2	0	92
92	3	0	92
92	4	2	92
92	5	9	92
92	6	10	92
92	7	11	92
92	8	12	92
92	9	17	92
92	10	5	92
92	11	7	92
92	12	4	92
92	13	0	92
92	14	0	92
92	15	0	92
93	1	0	93
93	2	0	93
93	3	0	93
93	4	2	93
93	5	9	93
93	6	10	93
93	7	11	93
93	8	12	93
93	9	18	93
93	10	5	93
93	11	7	93
93	12	4	93
93	13	0	93
93	14	0	93
93	15	0	93
94	1	0	94
94	2	0	94
94	3	0	94
94	4	2	94
94	5	9	94
94	6	10	94
94	7	12	94
94	8	12	94
94	9	18	94
94	10	5	94
94	11	7	94
94	12	4	94
94	13	0	94
94	14	0	94
94	15	0	94
95	1	0	95
95	2	0	95
95	3	0	95
95	4	2	95
95	5	9	95
95	6	10	95
95	7	12	95
95	8	13	95
95	9	18	95
95	10	5	95
95	11	7	95
95	12	4	95
95	13	0	95
95	14	0	95
95	15	0	95
96	1	0	96
96	2	0	96
96	3	0	96
96	4	2	96
96	5	9	96
96	6	10	96
96	7	12	96
96	8	14	96
96	9	18	96
96	10	5	96
96	11	7	96
96	12	4	96
96	13	0	96
96	14	0	96
96	15	0	96
97	1	0	97
97	2	0	97
97	3	0	97
97	4	2	97
97	5	9	97
97	6	10	97
97	7	12	97
97	8	14	97
97	9	18	97
97	10	5	97
97	11	7	97
97	12	5	97
97	13	0	97
97	14	0	97
97	15	0	97
98	1	0	98
98	2	0	98
98	3	0	98
98	4	2	98
98	5	9	98
98	6	10	98
98	7	13	98
98	8	14	98
98	9	18	98
98	10	5	98
98	11	7	98
98	12	5	98
98	13	0	98
98	14	0	98
98	15	0	98
99	1	0	99
99	2	0	99
99	3	0	99
99	4	2	99
99	5	9	99
99	6	10	99
99	7	13	99
99	8	14	99
99	9	18	99
99	10	6	99
99	11	7	99
99	12	5	99
99	13	0	99
99	14	0	99
99	15	0	99
100	1	0	100
100	2	0	100
100	3	0	100
100	4	2	100
100	5	10	100
100	6	10	100
100	7	13	100
100	8	14	100
100	9	18	100
100	10	6	100
100	11	7	100
100	12	5	100
100	13	0	100
100	14	0	100
100	15	0	100
101	1	0	101
101	2	0	101
101	3	0	101
101	4	2	101
101	5	10	101
101	6	10	101
101	7	14	101
101	8	14	101
101	9	18	101
101	10	6	101
101	11	7	101
101	12	5	101
101	13	0	101
101	14	0	101
101	15	0	101
102	1	0	102
102	2	0	102
102	3	0	102
102	4	3	102
102	5	10	102
102	6	10	102
102	7	14	102
102	8	14	102
102	9	18	102
102	10	6	102
102	11	7	102
102	12	5	102
102	13	0	102
102	14	0	102
102	15	0	102
103	1	0	103
103	2	0	103
103	3	0	103
103	4	3	103
103	5	10	103
103	6	10	103
103	7	14	103
103	8	14	103
103	9	19	103
103	10	6	103
103	11	7	103
103	12	5	103
103	13	0	103
103	14	0	103
103	15	0	103
104	1	0	104
104	2	0	104
104	3	0	104
104	4	3	104
104	5	10	104
104	6	10	104
104	7	15	104
104	8	14	104
104	9	19	104
104	10	6	104
104	11	7	104
104	12	5	104
104	13	0	104
104	14	0	104
104	15	0	104
105	1	0	105
105	2	0	105
105	3	0	105
105	4	3	105
105	5	10	105
105	6	10	105
105	7	15	105
105	8	14	105
105	9	20	105
105	10	6	105
105	11	7	105
105	12	5	105
105	13	0	105
105	14	0	105
105	15	0	105
106	1	0	106
106	2	0	106
106	3	0	106
106	4	4	106
106	5	10	106
106	6	10	106
106	7	15	106
106	8	14	106
106	9	20	106
106	10	6	106
106	11	7	106
106	12	5	106
106	13	0	106
106	14	0	106
106	15	0	106
107	1	0	107
107	2	0	107
107	3	0	107
107	4	4	107
107	5	10	107
107	6	11	107
107	7	15	107
107	8	14	107
107	9	20	107
107	10	6	107
107	11	7	107
107	12	5	107
107	13	0	107
107	14	0	107
107	15	0	107
108	1	0	108
108	2	0	108
108	3	0	108
108	4	4	108
108	5	10	108
108	6	12	108
108	7	15	108
108	8	14	108
108	9	20	108
108	10	6	108
108	11	7	108
108	12	5	108
108	13	0	108
108	14	0	108
108	15	0	108
109	1	0	109
109	2	0	109
109	3	0	109
109	4	4	109
109	5	10	109
109	6	13	109
109	7	15	109
109	8	14	109
109	9	20	109
109	10	6	109
109	11	7	109
109	12	5	109
109	13	0	109
109	14	0	109
109	15	0	109
110	1	0	110
110	2	0	110
110	3	0	110
110	4	4	110
110	5	10	110
110	6	13	110
110	7	15	110
110	8	14	110
110	9	21	110
110	10	6	110
110	11	7	110
110	12	5	110
110	13	0	110
110	14	0	110
110	15	0	110
111	1	0	111
111	2	0	111
111	3	0	111
111	4	4	111
111	5	10	111
111	6	13	111
111	7	15	111
111	8	15	111
111	9	21	111
111	10	6	111
111	11	7	111
111	12	5	111
111	13	0	111
111	14	0	111
111	15	0	111
112	1	0	112
112	2	0	112
112	3	0	112
112	4	4	112
112	5	10	112
112	6	13	112
112	7	15	112
112	8	16	112
112	9	21	112
112	10	6	112
112	11	7	112
112	12	5	112
112	13	0	112
112	14	0	112
112	15	0	112
113	1	0	113
113	2	0	113
113	3	0	113
113	4	4	113
113	5	10	113
113	6	13	113
113	7	15	113
113	8	16	113
113	9	22	113
113	10	6	113
113	11	7	113
113	12	5	113
113	13	0	113
113	14	0	113
113	15	0	113
114	1	0	114
114	2	0	114
114	3	0	114
114	4	4	114
114	5	10	114
114	6	13	114
114	7	15	114
114	8	16	114
114	9	22	114
114	10	6	114
114	11	7	114
114	12	5	114
114	13	1	114
114	14	0	114
114	15	0	114
115	1	0	115
115	2	0	115
115	3	0	115
115	4	4	115
115	5	10	115
115	6	13	115
115	7	15	115
115	8	16	115
115	9	23	115
115	10	6	115
115	11	7	115
115	12	5	115
115	13	1	115
115	14	0	115
115	15	0	115
116	1	0	116
116	2	0	116
116	3	0	116
116	4	4	116
116	5	10	116
116	6	13	116
116	7	15	116
116	8	16	116
116	9	24	116
116	10	6	116
116	11	7	116
116	12	5	116
116	13	1	116
116	14	0	116
116	15	0	116
117	1	0	117
117	2	0	117
117	3	0	117
